Name_x,Status,Link,Speakers,Glottocode,Country,Name_y,Top-level family,ISO-639-3,Macroarea,Child dialects,Latitude,Longtitude
Aari,Potentially vulnerable,https://en.wal.unesco.org/languages/aari,999999.0,aari1239,,Aari,South Omotic,aiw,Africa,0.0,5.95,36.57
,,,,aari1240,,Aariya,Bookkeeping,aay,Eurasia,0.0,,
Aasax,Not in use,https://en.wal.unesco.org/languages/aasax,0.0,aasa1238,,Aasax,Afro-Asiatic,aas,Africa,0.0,-4.01,36.86
Abadi,Endangered/unsafe,https://en.wal.unesco.org/languages/abadi,9999.0,abad1241,,Abadi,Austronesian,kbt,Papunesia,0.0,-9.03,146.99
Abaga,Critically endangered,https://en.wal.unesco.org/languages/abaga,9.0,abag1245,,Abaga,Nuclear Trans New Guinea,abg,Papunesia,0.0,-6.12,145.66
Abai Sungai,Definitely endangered,https://en.wal.unesco.org/languages/abai-sungai,999.0,abai1240,,Abai Sungai,Austronesian,abf,Papunesia,0.0,5.55,118.31
Abai Tubu-Abai Sembuak,Endangered/unsafe,https://en.wal.unesco.org/languages/abai-tubu-abai-sembuak,,abai1241,,Abai Tubu-Abai Sembuak,Austronesian,,Papunesia,0.0,3.52,116.16
Abanyom,Endangered/unsafe,https://en.wal.unesco.org/languages/abanyom,99999.0,aban1242,,Abanyom,Atlantic-Congo,abm,Africa,0.0,6.31,8.63
Mungbam,Definitely endangered,https://en.wal.unesco.org/languages/mungbam,9999.0,abar1238,Cameroon,Mungbam,Atlantic-Congo,mij,Africa,6.0,6.58,10.23
Abau,Definitely endangered,https://en.wal.unesco.org/languages/abau,9999.0,abau1245,,Abau,Sepik,aau,Papunesia,0.0,-3.97,141.32
Abaza,Endangered/unsafe,https://en.wal.unesco.org/languages/abaza,99999.0,abaz1241,Russian Federation,Abaza,Abkhaz-Adyge,abq,Eurasia,3.0,44.25,42.0
Abé,Potentially vulnerable,https://en.wal.unesco.org/languages/abe,999999.0,abee1242,,Abé,Atlantic-Congo,aba,Africa,4.0,5.6,-4.38
Abenlen Ayta,Definitely endangered,https://en.wal.unesco.org/languages/abenlen-ayta,9999.0,aben1249,Philippines,Abenlen Ayta,Austronesian,abp,Papunesia,0.0,15.41,120.2
Abidji,Endangered/unsafe,https://en.wal.unesco.org/languages/abidji,99999.0,abid1235,,Abidji,Atlantic-Congo,abi,Africa,2.0,5.66,-4.58
Abinomn,Definitely endangered,https://en.wal.unesco.org/languages/abinomn,999.0,abin1243,,Abinomn,,bsa,Papunesia,0.0,-2.92,138.89
Abipon,Not in use,https://en.wal.unesco.org/languages/abipon,0.0,abip1241,,Abipon,Guaicuruan,axb,South America,0.0,-29.0,-61.0
Aewa,Not in use,https://en.wal.unesco.org/languages/aewa,0.0,abis1238,,Aewa,,ash,South America,0.0,-1.28,-75.08
Abkhaz,Potentially vulnerable,https://en.wal.unesco.org/languages/abkhaz,999999.0,abkh1244,Georgia,Abkhaz,Abkhaz-Adyge,abk,Eurasia,3.0,43.06,41.16
Abom,Critically endangered,https://en.wal.unesco.org/languages/abom,99.0,abom1238,,Abom,Anim,aob,Papunesia,0.0,-8.42,142.84
Abon,Definitely endangered,https://en.wal.unesco.org/languages/abon,999.0,abon1238,,Abon,Atlantic-Congo,abo,Africa,0.0,6.91,10.88
Abron,Potentially vulnerable,https://en.wal.unesco.org/languages/abron,9999999.0,abro1238,,Abron,Atlantic-Congo,abr,Africa,0.0,7.72,-2.5
Abua,Endangered/unsafe,https://en.wal.unesco.org/languages/abua,99999.0,abua1244,,Abua,Atlantic-Congo,abn,Africa,4.0,4.83,6.61
Abu' Arapesh,Definitely endangered,https://en.wal.unesco.org/languages/abu-arapesh,9999.0,abua1245,,Abu' Arapesh,Nuclear Torricelli,aah,Papunesia,0.0,-3.46,142.92
Abui,Definitely endangered,https://en.wal.unesco.org/languages/abui,99999.0,abui1241,,Abui,Timor-Alor-Pantar,abz,Papunesia,4.0,-8.31,124.59
Abun,Definitely endangered,https://en.wal.unesco.org/languages/abun,9999.0,abun1252,,Abun,,kgr,Papunesia,3.0,-0.57,132.42
Abure,Endangered/unsafe,https://en.wal.unesco.org/languages/abure,99999.0,abur1243,,Abure,Atlantic-Congo,abu,Africa,0.0,5.22,-3.64
Abureni,Endangered/unsafe,https://en.wal.unesco.org/languages/abureni,9999.0,abur1244,,Abureni,Atlantic-Congo,mgj,Africa,0.0,4.62,6.51
Abu,Definitely endangered,https://en.wal.unesco.org/languages/abu,9999.0,abuu1241,,Abu,Ramu,ado,Papunesia,3.0,-4.24,144.47
Acatepec Me'phaa,Endangered/unsafe,https://en.wal.unesco.org/languages/acatepec-mephaa,99999.0,acat1239,,Acatepec Me'phaa,Otomanguean,tpx,North America,3.0,17.1,-99.06
